SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Model Name,Predicted Label,Predicted Probability
6.0,4.0,1.5,0.4,SVM,Iris-setosa,0.896959764322355
5.4,3.9,1.7,0.2,SVM,Iris-setosa,0.9372071884536504
5.0,3.6,1.4,0.3,SVM,Iris-setosa,0.9572631018766357
6.7,3.1,4.4,1.4,SVM,Iris-versicolor,0.9734246476429268
4.6,3.1,1.5,0.3,SVM,Iris-setosa,0.9334044999371167
5.6,3.0,4.5,1.5,SVM,Iris-versicolor,0.9149577278049336
7.7,2.6,6.9,2.3,SVM,Iris-virginica,0.956405678964254
6.9,3.2,5.7,2.3,SVM,Iris-virginica,0.9814926111648363
5.1,3.0,1.6,0.2,SVM,Iris-setosa,0.925836571107014
5.6,2.9,3.6,1.3,SVM,Iris-versicolor,0.9790877127478457
6.0,4.0,1.5,0.4,LogReg,Iris-setosa,0.9030689304077962
5.4,3.9,1.7,0.2,LogReg,Iris-setosa,0.883100805940723
5.0,3.6,1.4,0.3,LogReg,Iris-setosa,0.8837789223947111
6.7,3.1,4.4,1.4,LogReg,Iris-versicolor,0.7763972868370074
4.6,3.1,1.5,0.3,LogReg,Iris-setosa,0.8174848920185611
5.6,3.0,4.5,1.5,LogReg,Iris-virginica,0.5985370378659424
7.7,2.6,6.9,2.3,LogReg,Iris-virginica,0.6079733270012752
6.9,3.2,5.7,2.3,LogReg,Iris-virginica,0.78622992720395
5.1,3.0,1.6,0.2,LogReg,Iris-setosa,0.7503612132384921
5.6,2.9,3.6,1.3,LogReg,Iris-versicolor,0.647171947368588
6.0,4.0,1.5,0.4,DecTree,Iris-setosa,1.0
5.4,3.9,1.7,0.2,DecTree,Iris-setosa,1.0
5.0,3.6,1.4,0.3,DecTree,Iris-setosa,1.0
6.7,3.1,4.4,1.4,DecTree,Iris-versicolor,1.0
4.6,3.1,1.5,0.3,DecTree,Iris-setosa,1.0
5.6,3.0,4.5,1.5,DecTree,Iris-versicolor,1.0
7.7,2.6,6.9,2.3,DecTree,Iris-virginica,1.0
6.9,3.2,5.7,2.3,DecTree,Iris-virginica,1.0
5.1,3.0,1.6,0.2,DecTree,Iris-setosa,1.0
5.6,2.9,3.6,1.3,DecTree,Iris-versicolor,1.0
6.0,4.0,1.5,0.4,KNN,Iris-setosa,1.0
5.4,3.9,1.7,0.2,KNN,Iris-setosa,1.0
5.0,3.6,1.4,0.3,KNN,Iris-setosa,1.0
6.7,3.1,4.4,1.4,KNN,Iris-versicolor,1.0
4.6,3.1,1.5,0.3,KNN,Iris-setosa,1.0
5.6,3.0,4.5,1.5,KNN,Iris-versicolor,1.0
7.7,2.6,6.9,2.3,KNN,Iris-virginica,1.0
6.9,3.2,5.7,2.3,KNN,Iris-virginica,1.0
5.1,3.0,1.6,0.2,KNN,Iris-setosa,1.0
5.6,2.9,3.6,1.3,KNN,Iris-versicolor,1.0
